illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
17,0.4857142857142857,5,stock,35,0,10.464396476745604,10.465448379516602
23,0.4893617021276595,10,stock,47,0,10.464396476745604,10.465448379516602
11,0.4782608695652174,15,stock,23,0,10.464396476745604,10.465448379516602
23,0.4893617021276595,20,stock,47,0,10.464396476745604,10.465448379516602
11,0.4782608695652174,5,stock,23,0,10.464396476745604,10.465448379516602
15,0.4838709677419355,10,stock,31,0,10.464396476745604,10.465448379516602
10,0.4761904761904761,15,stock,21,0,10.464396476745604,10.465448379516602
14,0.4827586206896552,20,stock,29,0,10.464396476745604,10.465448379516602
28,0.4912280701754385,5,stock,57,0,10.464396476745604,10.465448379516602
6,0.4615384615384615,10,stock,13,0,10.464396476745604,10.465448379516602
16,0.4848484848484848,15,stock,33,0,10.464396476745604,10.465448379516602
15,0.4838709677419355,20,stock,31,0,10.464396476745604,10.465448379516602
14,0.4827586206896552,5,stock,29,0,10.45803165435791,10.474087715148926
17,0.4857142857142857,10,stock,35,0,10.45803165435791,10.474087715148926
12,0.48,15,stock,25,0,10.45803165435791,10.474087715148926
28,0.4912280701754385,20,stock,57,0,10.45803165435791,10.474087715148926
24,0.4897959183673469,5,stock,49,0,10.468276023864746,10.4662504196167
14,0.4827586206896552,10,stock,29,0,10.468276023864746,10.4662504196167
23,0.4893617021276595,15,stock,47,0,10.468276023864746,10.4662504196167
20,0.4878048780487805,20,stock,41,0,10.468276023864746,10.4662504196167
16,0.4571428571428571,5,stock,35,1000,5.648468971252441,5.629498481750488
24,0.4067796610169492,10,stock,59,1000,5.648468971252441,5.629498481750488
20,0.4081632653061224,15,stock,49,1000,5.648468971252441,5.629498481750488
6,0.24,20,stock,25,1000,5.648468971252441,5.629498481750488
7,0.28,5,stock,25,2000,5.341666221618652,5.36402702331543
16,0.3555555555555555,10,stock,45,2000,5.341666221618652,5.36402702331543
8,0.2580645161290322,15,stock,31,2000,5.341666221618652,5.36402702331543
13,0.3513513513513513,20,stock,37,2000,5.341666221618652,5.36402702331543
26,0.4,5,stock,65,2999,5.137516021728516,5.011019706726074
26,0.4126984126984127,10,stock,63,2999,5.137516021728516,5.011019706726074
4,0.2105263157894736,15,stock,19,2999,5.137516021728516,5.011019706726074
8,0.2162162162162162,20,stock,37,2999,5.137516021728516,5.011019706726074
6,0.4615384615384615,5,stock,13,0,10.476677894592283,10.46042537689209
17,0.4857142857142857,10,stock,35,0,10.476677894592283,10.46042537689209
5,0.4545454545454545,15,stock,11,0,10.476677894592283,10.46042537689209
7,0.4666666666666667,20,stock,15,0,10.476677894592283,10.46042537689209
19,0.3584905660377358,5,stock,53,1000,5.62374210357666,5.667087078094482
12,0.3428571428571428,10,stock,35,1000,5.62374210357666,5.667087078094482
13,0.3333333333333333,15,stock,39,1000,5.62374210357666,5.667087078094482
12,0.3243243243243243,20,stock,37,1000,5.62374210357666,5.667087078094482
31,0.4366197183098591,5,stock,71,2000,5.344498157501221,5.342171669006348
13,0.3023255813953488,10,stock,43,2000,5.344498157501221,5.342171669006348
14,0.358974358974359,15,stock,39,2000,5.344498157501221,5.342171669006348
8,0.32,20,stock,25,2000,5.344498157501221,5.342171669006348
14,0.3111111111111111,5,stock,45,3000,5.078705787658691,5.067305088043213
20,0.3773584905660377,10,stock,53,3000,5.078705787658691,5.067305088043213
13,0.3513513513513513,15,stock,37,3000,5.078705787658691,5.067305088043213
9,0.2432432432432432,20,stock,37,3000,5.078705787658691,5.067305088043213
9,0.1914893617021276,5,stock,47,4000,4.914410591125488,4.960061073303223
15,0.3846153846153846,10,stock,39,4000,4.914410591125488,4.960061073303223
13,0.2888888888888888,15,stock,45,4000,4.914410591125488,4.960061073303223
6,0.2857142857142857,20,stock,21,4000,4.914410591125488,4.960061073303223
12,0.2666666666666666,5,stock,45,5000,4.946688175201416,4.945907115936279
21,0.3442622950819672,10,stock,61,5000,4.946688175201416,4.945907115936279
13,0.3170731707317073,15,stock,41,5000,4.946688175201416,4.945907115936279
10,0.2564102564102564,20,stock,39,5000,4.946688175201416,4.945907115936279
20,0.3389830508474576,5,stock,59,6000,4.843317031860352,4.840740203857422
22,0.3859649122807017,10,stock,57,6000,4.843317031860352,4.840740203857422
14,0.2745098039215686,15,stock,51,6000,4.843317031860352,4.840740203857422
4,0.2105263157894736,20,stock,19,6000,4.843317031860352,4.840740203857422
21,0.3559322033898305,5,stock,59,7000,4.722984790802002,4.724254131317139
17,0.3333333333333333,10,stock,51,7000,4.722984790802002,4.724254131317139
21,0.3442622950819672,15,stock,61,7000,4.722984790802002,4.724254131317139
6,0.2222222222222222,20,stock,27,7000,4.722984790802002,4.724254131317139
12,0.2553191489361702,5,stock,47,8000,4.731335639953613,4.689779758453369
21,0.3043478260869565,10,stock,69,8000,4.731335639953613,4.689779758453369
12,0.2666666666666666,15,stock,45,8000,4.731335639953613,4.689779758453369
14,0.2641509433962264,20,stock,53,8000,4.731335639953613,4.689779758453369
