illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
12,0.1846153846153846,5,stock,65,2000,3.860984325408936,3.868628740310669
9,0.2571428571428571,10,stock,35,2000,3.860984325408936,3.868628740310669
11,0.2075471698113207,15,stock,53,2000,3.860984325408936,3.868628740310669
8,0.1568627450980392,20,stock,51,2000,3.860984325408936,3.868628740310669
5,0.1162790697674418,5,stock,43,2000,3.860984325408936,3.868628740310669
4,0.1904761904761904,10,stock,21,2000,3.860984325408936,3.868628740310669
9,0.1914893617021276,15,stock,47,2000,3.860984325408936,3.868628740310669
13,0.2549019607843137,20,stock,51,2000,3.860984325408936,3.868628740310669
21,0.2876712328767123,5,stock,73,2000,3.860984325408936,3.868628740310669
8,0.1860465116279069,10,stock,43,2000,3.860984325408936,3.868628740310669
6,0.1818181818181818,15,stock,33,2000,3.860984325408936,3.868628740310669
7,0.1707317073170731,20,stock,41,2000,3.860984325408936,3.868628740310669
5,0.1020408163265306,5,stock,49,4000,3.48052716255188,3.47053337097168
10,0.1886792452830188,10,stock,53,4000,3.48052716255188,3.47053337097168
12,0.1904761904761904,15,stock,63,4000,3.48052716255188,3.47053337097168
8,0.1702127659574468,20,stock,47,4000,3.48052716255188,3.47053337097168
13,0.2063492063492063,5,stock,63,4000,3.48052716255188,3.47053337097168
13,0.2888888888888888,10,stock,45,4000,3.48052716255188,3.47053337097168
15,0.2459016393442623,15,stock,61,4000,3.48052716255188,3.47053337097168
10,0.2127659574468085,20,stock,47,4000,3.48052716255188,3.47053337097168
12,0.2105263157894736,5,stock,57,4000,3.48052716255188,3.47053337097168
11,0.2558139534883721,10,stock,43,4000,3.48052716255188,3.47053337097168
11,0.2156862745098039,15,stock,51,4000,3.48052716255188,3.47053337097168
15,0.2307692307692307,20,stock,65,4000,3.48052716255188,3.47053337097168
16,0.2807017543859649,5,stock,57,4000,3.4403319358825684,3.4505019187927246
8,0.1702127659574468,10,stock,47,4000,3.4403319358825684,3.4505019187927246
10,0.2040816326530612,15,stock,49,4000,3.4403319358825684,3.4505019187927246
14,0.2153846153846154,20,stock,65,4000,3.4403319358825684,3.4505019187927246
9,0.2432432432432432,5,stock,37,4000,3.4403319358825684,3.4505019187927246
12,0.2181818181818181,10,stock,55,4000,3.4403319358825684,3.4505019187927246
7,0.1489361702127659,15,stock,47,4000,3.4403319358825684,3.4505019187927246
9,0.2195121951219512,20,stock,41,4000,3.4403319358825684,3.4505019187927246
15,0.189873417721519,5,stock,79,4000,3.4403319358825684,3.4505019187927246
10,0.2040816326530612,10,stock,49,4000,3.4403319358825684,3.4505019187927246
15,0.238095238095238,15,stock,63,4000,3.4403319358825684,3.4505019187927246
11,0.180327868852459,20,stock,61,4000,3.4403319358825684,3.4505019187927246
6,0.1395348837209302,5,stock,43,6000,3.234606981277466,3.247637987136841
7,0.2121212121212121,10,stock,33,6000,3.234606981277466,3.247637987136841
12,0.2105263157894736,15,stock,57,6000,3.234606981277466,3.247637987136841
8,0.1702127659574468,20,stock,47,6000,3.234606981277466,3.247637987136841
1,0.0666666666666666,5,stock,15,6000,3.234606981277466,3.247637987136841
6,0.1935483870967742,10,stock,31,6000,3.234606981277466,3.247637987136841
5,0.1282051282051282,15,stock,39,6000,3.234606981277466,3.247637987136841
6,0.1538461538461538,20,stock,39,6000,3.234606981277466,3.247637987136841
12,0.1967213114754098,5,stock,61,6000,3.234606981277466,3.247637987136841
7,0.1707317073170731,10,stock,41,6000,3.234606981277466,3.247637987136841
10,0.1818181818181818,15,stock,55,6000,3.234606981277466,3.247637987136841
11,0.1864406779661017,20,stock,59,6000,3.234606981277466,3.247637987136841
8,0.1632653061224489,5,stock,49,8000,3.106306791305542,3.118546724319458
3,0.1111111111111111,10,stock,27,8000,3.106306791305542,3.118546724319458
10,0.175438596491228,15,stock,57,8000,3.106306791305542,3.118546724319458
0,0.0,20,stock,25,8000,3.106306791305542,3.118546724319458
5,0.1020408163265306,5,stock,49,8000,3.106306791305542,3.118546724319458
17,0.2266666666666666,10,stock,75,8000,3.106306791305542,3.118546724319458
10,0.1639344262295081,15,stock,61,8000,3.106306791305542,3.118546724319458
10,0.2702702702702703,20,stock,37,8000,3.106306791305542,3.118546724319458
8,0.1509433962264151,5,stock,53,8000,3.106306791305542,3.118546724319458
7,0.1372549019607843,10,stock,51,8000,3.106306791305542,3.118546724319458
7,0.1372549019607843,15,stock,51,8000,3.106306791305542,3.118546724319458
4,0.0784313725490196,20,stock,51,8000,3.106306791305542,3.118546724319458
10,0.1492537313432835,5,stock,67,10000,3.0102531909942627,2.990225076675415
8,0.2285714285714285,10,stock,35,10000,3.0102531909942627,2.990225076675415
10,0.2325581395348837,15,stock,43,10000,3.0102531909942627,2.990225076675415
4,0.0930232558139534,20,stock,43,10000,3.0102531909942627,2.990225076675415
3,0.073170731707317,5,stock,41,10000,3.0102531909942627,2.990225076675415
13,0.2888888888888888,10,stock,45,10000,3.0102531909942627,2.990225076675415
11,0.1864406779661017,15,stock,59,10000,3.0102531909942627,2.990225076675415
9,0.2093023255813953,20,stock,43,10000,3.0102531909942627,2.990225076675415
11,0.1594202898550724,5,stock,69,10000,3.0102531909942627,2.990225076675415
18,0.2608695652173913,10,stock,69,10000,3.0102531909942627,2.990225076675415
5,0.1162790697674418,15,stock,43,10000,3.0102531909942627,2.990225076675415
7,0.1707317073170731,20,stock,41,10000,3.0102531909942627,2.990225076675415
17,0.2098765432098765,5,stock,81,12000,2.914754629135132,2.9287109375
5,0.0793650793650793,10,stock,63,12000,2.914754629135132,2.9287109375
10,0.1538461538461538,15,stock,65,12000,2.914754629135132,2.9287109375
7,0.1228070175438596,20,stock,57,12000,2.914754629135132,2.9287109375
9,0.1578947368421052,5,stock,57,12000,2.914754629135132,2.9287109375
7,0.1891891891891892,10,stock,37,12000,2.914754629135132,2.9287109375
8,0.1702127659574468,15,stock,47,12000,2.914754629135132,2.9287109375
5,0.1515151515151515,20,stock,33,12000,2.914754629135132,2.9287109375
12,0.1791044776119403,5,stock,67,12000,2.914754629135132,2.9287109375
9,0.2,10,stock,45,12000,2.914754629135132,2.9287109375
12,0.1967213114754098,15,stock,61,12000,2.914754629135132,2.9287109375
3,0.0588235294117647,20,stock,51,12000,2.914754629135132,2.9287109375
16,0.2253521126760563,5,stock,71,14000,2.8605427742004395,2.84197998046875
1,0.0285714285714285,10,stock,35,14000,2.8605427742004395,2.84197998046875
14,0.1686746987951807,15,stock,83,14000,2.8605427742004395,2.84197998046875
3,0.0967741935483871,20,stock,31,14000,2.8605427742004395,2.84197998046875
13,0.1780821917808219,5,stock,73,14000,2.8605427742004395,2.84197998046875
6,0.1276595744680851,10,stock,47,14000,2.8605427742004395,2.84197998046875
5,0.1162790697674418,15,stock,43,14000,2.8605427742004395,2.84197998046875
3,0.081081081081081,20,stock,37,14000,2.8605427742004395,2.84197998046875
7,0.1186440677966101,5,stock,59,14000,2.8605427742004395,2.84197998046875
5,0.1162790697674418,10,stock,43,14000,2.8605427742004395,2.84197998046875
7,0.2,15,stock,35,14000,2.8605427742004395,2.84197998046875
5,0.1063829787234042,20,stock,47,14000,2.8605427742004395,2.84197998046875
10,0.1538461538461538,5,stock,65,16000,2.78613805770874,2.817537307739258
11,0.2,10,stock,55,16000,2.78613805770874,2.817537307739258
2,0.0689655172413793,15,stock,29,16000,2.78613805770874,2.817537307739258
1,0.0232558139534883,20,stock,43,16000,2.78613805770874,2.817537307739258
